toric5               was called          1 times, total     301.66 secs
gloini               was called          1 times, total       9.19 secs
fftl_ini             was called          1 times, total       9.19 secs
equil                was called          1 times, total       0.00 secs
mhdcoe               was called       2747 times, total       0.00 secs
profnt               was called          1 times, total       0.00 secs
coords               was called        280 times, total       0.06 secs
fftl_dir             was called       3570 times, total       0.06 secs
rescof               was called          1 times, total       0.00 secs
init zvec            was called          1 times, total       0.00 secs
pzgecopy_3to2        was called        359 times, total       0.00 secs
pzgefill             was called       1960 times, total       0.62 secs
pzgecopy_2to3        was called        146 times, total       0.00 secs
allocGk              was called          1 times, total       0.19 secs
allocFk              was called          1 times, total       0.16 secs
mblock               was called         72 times, total      51.81 secs
pzgecopy             was called        651 times, total       0.81 secs
mblock:inside plasma was called        216 times, total      50.78 secs
operev               was called        216 times, total      48.84 secs
eldibw               was called      60180 times, total      21.38 secs
direl_flr            was called      60180 times, total       9.19 secs
add_block_row_distri was called         72 times, total      55.75 secs
form rhs from zk     was called         72 times, total       0.00 secs
pzgetrf              was called         74 times, total      10.81 secs
pzgetrs,Gk=Ek\Bk     was called          1 times, total       0.31 secs
pzgetrs,yk=Ek\yk     was called         72 times, total       0.31 secs
yvec<-yk             was called         72 times, total       0.00 secs
putGk                was called         72 times, total       0.06 secs
pzgemm               was called         72 times, total      16.75 secs
pzgetrs,Gk=Ek\Gk     was called         71 times, total      25.41 secs
ykm1<-yvec           was called         71 times, total       0.00 secs
pzgemm,yk=yk-Ck*ykm1 was called         71 times, total       0.03 secs
pzgetrs,T1=T2\T1     was called          1 times, total       0.38 secs
pzgetrs,T3=T2\T3 2   was called          1 times, total       0.34 secs
pzgetrs,ycyc=T2\ycyc was called          2 times, total       0.03 secs
ptri_solve_replicate was called          1 times, total       0.47 secs
solve: xvec <- x_in  was called          1 times, total       0.00 secs
ptri_solve_distribut was called          1 times, total       0.25 secs
xvec<-xk             was called         72 times, total       0.00 secs
getGk                was called         71 times, total       0.03 secs
getFk                was called         71 times, total       0.16 secs
yk<-yvec             was called         71 times, total       0.00 secs
pzgemm, xk=xk-Gk*xkp was called         71 times, total       0.06 secs
solve: x_in <- xvec  was called          1 times, total       0.00 secs
deallocGk            was called          1 times, total       0.00 secs
deallocFk            was called          1 times, total       0.03 secs
elepwr               was called          1 times, total      35.50 secs
elefld               was called         21 times, total       0.28 secs
powtwd               was called         21 times, total      20.72 secs
